productid,product name,product supplier,price,quantity,category
TRIM9BSUI2,Balenciaga Track Mid,Balenciaga,971.38,633,Clothing
PD831TRXTO,Bose QuietComfort 35 II,Bose,453.85,518,Electronics
NFCVR218E8,Chromebook C202,Google,118.57,531,Electronics
EB3MA8VUQ3,Pixel XL,Google,336.5,462,Electronics
M0CBMU2EY3,Gucci Monogram GG Supreme Interlocking G,Gucci,251.4,154,Clothing
HNA0PPJ87L,HP ProBook 640,HP,663.73,375,Electronics
YYCBQ7U2MS,Adidas Ultraboost X All Terrain Primeknit,Adidas,751.6,191,Clothing
86WHVY8F53,Bose QuietComfort 35,Bose,584.62,335,Electronics
X2ILWK5UM8,Tommy Hilfiger Kids' Logo Sweater,Tommy Hilfiger,906.47,280,Clothing
NUJF241DX1,Barq's,Coca Cola,295.63,690,Food
YST4A4DB5B,Nike Air Max 720 G,Nike,383.79,56,Clothing
SALYOWWY0F,Alienware Aurora R9,Alienware,653.28,492,Electronics
DXBWSM2VUE,Galaxy Note 20,Samsung,228.24,72,Electronics
B31YDJCVVU,Nike Air Max Tailwind 7,Nike,841.22,418,Clothing
WD3Z4X7ZVP,"MacBook Pro (16-inch, 2022)",Apple,149.28,31,Electronics
8YL8P5JXSP,Schweppes Cherry Juice,Coca Cola,759.02,235,Food
T3XG3L98SC,Sony PlayStation Video,Sony,890.7,100,Electronics
S69UXS0H3K,Bose QuietComfort 35 II,Bose,441.92,99,Electronics
F3HJPYQH29,Nike Air Max Tailwind 5,Nike,912.69,214,Clothing
L6VAI7NKNG,Gucci Monogram,Gucci,205.42,596,Clothing
1EFH28GDDI,Gucci Monogram Embroidered,Gucci,497.19,465,Clothing
6GCOUVHC4S,Tommy Hilfiger Women's Logo Joggers,Tommy Hilfiger,609.05,491,Clothing
O23LCYQJZP,Transformer Book T100TA,Asus,290.07,65,Electronics
Y7UY2OTIZZ,AirPods with Charging Case,Apple,923.9,229,Electronics
QIEEIDR2O7,Schweppes Blackcurrant Juice,Coca Cola,693.83,618,Food
TSOIV8PZMR,Prada suitcase,Prada,762.32,269,Clothing
